09:07:36 [backtester.data_loader] INFO: Time filter: last 160.0h (1775619938 - 1776195938)
09:07:36 [backtester.data_loader] INFO: Loading market prices...
09:07:41 [backtester.data_loader] INFO: Loading order books...
09:08:40 [backtester.data_loader] INFO: Loading Binance LOB...
09:08:43 [backtester.data_loader] INFO: Loading Chainlink prices...
09:08:50 [backtester.data_loader] INFO: Found 7557 markets across ['5m', '15m', 'hourly']
09:09:10 [backtester.data_loader] INFO: Computed 7557 settlements
09:09:15 [backtester.data_loader] INFO: Parsing 743,333 order-book snapshots...
09:09:24 [backtester.data_loader] INFO:   parsed 148,666/743,333 books
09:10:22 [backtester.data_loader] INFO:   parsed 297,332/743,333 books
09:10:35 [backtester.data_loader] INFO:   parsed 445,998/743,333 books
09:10:43 [backtester.data_loader] INFO:   parsed 594,664/743,333 books
09:10:51 [backtester.data_loader] INFO:   parsed 743,330/743,333 books
09:10:51 [backtester.data_loader] INFO: Building timeline: 576001 seconds, 7557 markets
09:10:54 [backtester.data_loader] INFO:   timeline build: 57,600/576,001 (10%, active=9)
09:10:56 [backtester.data_loader] INFO:   timeline build: 115,200/576,001 (20%, active=9)
09:10:57 [backtester.data_loader] INFO:   timeline build: 172,800/576,001 (30%, active=9)
09:10:58 [backtester.data_loader] INFO:   timeline build: 230,400/576,001 (40%, active=6)
09:10:59 [backtester.data_loader] INFO:   timeline build: 288,000/576,001 (50%, active=9)
09:11:00 [backtester.data_loader] INFO:   timeline build: 345,600/576,001 (60%, active=9)
09:11:00 [backtester.data_loader] INFO:   timeline build: 403,200/576,001 (70%, active=9)
09:11:00 [backtester.data_loader] INFO:   timeline build: 460,800/576,001 (80%, active=9)
09:11:01 [backtester.data_loader] INFO:   timeline build: 518,400/576,001 (90%, active=9)
09:11:02 [backtester.data_loader] INFO:   timeline build: 576,000/576,001 (100%, active=9)
09:11:02 [backtester.data_loader] INFO: Timeline built: 576001 ticks, 7557 markets
09:11:13 [backtester.engine] INFO: Starting backtest: AggressiveEdgeV3 | 576001 ticks | $10,000 starting cash | 7557 markets
09:11:24 [backtester.engine] INFO: Tick 3600 (idx 3599/576001) | ts=1775623537 | portfolio=$9,311.44 | trades=63 | settled=51
09:11:33 [backtester.engine] INFO: Tick 7200 (idx 7199/576001) | ts=1775627137 | portfolio=$10,289.16 | trades=159 | settled=102
09:11:44 [backtester.engine] INFO: Tick 10800 (idx 10799/576001) | ts=1775630737 | portfolio=$9,976.84 | trades=213 | settled=153
09:11:54 [backtester.engine] INFO: Tick 14400 (idx 14399/576001) | ts=1775634337 | portfolio=$8,516.12 | trades=323 | settled=204
09:12:03 [backtester.engine] INFO: Tick 18000 (idx 17999/576001) | ts=1775637937 | portfolio=$7,437.23 | trades=430 | settled=255
09:12:13 [backtester.engine] INFO: Tick 21600 (idx 21599/576001) | ts=1775641537 | portfolio=$8,362.59 | trades=520 | settled=306
09:12:23 [backtester.engine] INFO: Tick 25200 (idx 25199/576001) | ts=1775645137 | portfolio=$8,413.91 | trades=590 | settled=356
09:12:32 [backtester.engine] INFO: Tick 28800 (idx 28799/576001) | ts=1775648737 | portfolio=$7,908.77 | trades=663 | settled=407
09:12:44 [backtester.engine] INFO: Tick 32400 (idx 32399/576001) | ts=1775652337 | portfolio=$6,112.19 | trades=781 | settled=458
09:12:55 [backtester.engine] INFO: Tick 36000 (idx 35999/576001) | ts=1775655937 | portfolio=$6,105.50 | trades=857 | settled=509
09:13:06 [backtester.engine] INFO: Tick 39600 (idx 39599/576001) | ts=1775659537 | portfolio=$7,548.02 | trades=943 | settled=560
09:13:17 [backtester.engine] INFO: Tick 43200 (idx 43199/576001) | ts=1775663137 | portfolio=$8,400.76 | trades=1014 | settled=611
09:13:31 [backtester.engine] INFO: Tick 46800 (idx 46799/576001) | ts=1775666737 | portfolio=$8,249.14 | trades=1080 | settled=662
09:13:43 [backtester.engine] INFO: Tick 50400 (idx 50399/576001) | ts=1775670337 | portfolio=$8,232.32 | trades=1134 | settled=713
