09:21:44 [backtester.data_loader] INFO: Loading market prices...
09:21:52 [backtester.data_loader] INFO: Loading order books...
09:22:20 [backtester.data_loader] INFO: Loading Binance LOB...
09:22:21 [backtester.data_loader] INFO: Loading Chainlink prices...
09:22:28 [backtester.data_loader] INFO: Found 8466 markets across ['5m', '15m', 'hourly']
09:22:47 [backtester.data_loader] INFO: Computed 8466 settlements
09:22:55 [backtester.data_loader] INFO: Parsing 877,112 order-book snapshots...
09:23:08 [backtester.data_loader] INFO:   parsed 175,422/877,112 books
09:23:23 [backtester.data_loader] INFO:   parsed 350,844/877,112 books
09:23:34 [backtester.data_loader] INFO:   parsed 526,266/877,112 books
09:23:46 [backtester.data_loader] INFO:   parsed 701,688/877,112 books
09:23:56 [backtester.data_loader] INFO:   parsed 877,110/877,112 books
09:23:57 [backtester.data_loader] INFO: Building timeline: 641525 seconds, 8466 markets
09:23:58 [backtester.data_loader] INFO:   timeline build: 64,152/641,525 (10%, active=9)
09:24:02 [backtester.data_loader] INFO:   timeline build: 128,304/641,525 (20%, active=9)
09:24:05 [backtester.data_loader] INFO:   timeline build: 192,456/641,525 (30%, active=9)
09:24:07 [backtester.data_loader] INFO:   timeline build: 256,608/641,525 (40%, active=9)
09:24:08 [backtester.data_loader] INFO:   timeline build: 320,760/641,525 (50%, active=9)
09:24:09 [backtester.data_loader] INFO:   timeline build: 384,912/641,525 (60%, active=9)
09:24:10 [backtester.data_loader] INFO:   timeline build: 449,064/641,525 (70%, active=9)
09:24:10 [backtester.data_loader] INFO:   timeline build: 513,216/641,525 (80%, active=4)
09:24:11 [backtester.data_loader] INFO:   timeline build: 577,368/641,525 (90%, active=6)
09:24:11 [backtester.data_loader] INFO:   timeline build: 641,520/641,525 (100%, active=9)
09:24:11 [backtester.data_loader] INFO: Timeline built: 641525 ticks, 8466 markets
09:24:26 [backtester.engine] INFO: Starting backtest: AggressiveEdgeV3 | 641525 ticks | $10,000 starting cash | 8466 markets
09:24:38 [backtester.engine] INFO: Tick 3600 (idx 3599/641525) | ts=1775558013 | portfolio=$9,314.61 | trades=91 | settled=51
09:24:50 [backtester.engine] INFO: Tick 7200 (idx 7199/641525) | ts=1775561613 | portfolio=$8,431.49 | trades=225 | settled=102
09:25:02 [backtester.engine] INFO: Tick 10800 (idx 10799/641525) | ts=1775565213 | portfolio=$8,366.66 | trades=379 | settled=153
09:25:14 [backtester.engine] INFO: Tick 14400 (idx 14399/641525) | ts=1775568813 | portfolio=$7,466.05 | trades=508 | settled=204
09:25:25 [backtester.engine] INFO: Tick 18000 (idx 17999/641525) | ts=1775572413 | portfolio=$8,167.06 | trades=669 | settled=255
09:25:36 [backtester.engine] INFO: Tick 21600 (idx 21599/641525) | ts=1775576013 | portfolio=$10,366.57 | trades=817 | settled=306
09:25:51 [backtester.engine] INFO: Tick 25200 (idx 25199/641525) | ts=1775579613 | portfolio=$11,045.79 | trades=942 | settled=357
09:26:02 [backtester.engine] INFO: Tick 28800 (idx 28799/641525) | ts=1775583213 | portfolio=$11,968.57 | trades=1037 | settled=408
09:26:15 [backtester.engine] INFO: Tick 32400 (idx 32399/641525) | ts=1775586813 | portfolio=$12,725.84 | trades=1151 | settled=459
09:26:26 [backtester.engine] INFO: Tick 36000 (idx 35999/641525) | ts=1775590413 | portfolio=$11,878.43 | trades=1278 | settled=510
09:26:39 [backtester.engine] INFO: Tick 39600 (idx 39599/641525) | ts=1775594013 | portfolio=$12,877.59 | trades=1341 | settled=561
09:26:51 [backtester.engine] INFO: Tick 43200 (idx 43199/641525) | ts=1775597613 | portfolio=$13,639.45 | trades=1411 | settled=612
09:27:02 [backtester.engine] INFO: Tick 46800 (idx 46799/641525) | ts=1775601213 | portfolio=$13,931.06 | trades=1497 | settled=663
09:27:14 [backtester.engine] INFO: Tick 50400 (idx 50399/641525) | ts=1775604813 | portfolio=$15,965.71 | trades=1625 | settled=714
09:27:28 [backtester.engine] INFO: Tick 54000 (idx 53999/641525) | ts=1775608413 | portfolio=$16,383.18 | trades=1775 | settled=765
09:27:40 [backtester.engine] INFO: Tick 57600 (idx 57599/641525) | ts=1775612013 | portfolio=$15,018.62 | trades=1851 | settled=795
09:27:52 [backtester.engine] INFO: Tick 61200 (idx 61199/641525) | ts=1775615613 | portfolio=$13,437.31 | trades=1949 | settled=846
09:28:04 [backtester.engine] INFO: Tick 64800 (idx 64799/641525) | ts=1775619213 | portfolio=$14,194.77 | trades=2063 | settled=897
09:28:16 [backtester.engine] INFO: Tick 68400 (idx 68399/641525) | ts=1775622813 | portfolio=$14,817.95 | trades=2137 | settled=948
09:28:30 [backtester.engine] INFO: Tick 72000 (idx 71999/641525) | ts=1775626413 | portfolio=$14,240.18 | trades=2224 | settled=999
09:28:42 [backtester.engine] INFO: Tick 75600 (idx 75599/641525) | ts=1775630013 | portfolio=$15,731.14 | trades=2294 | settled=1050
09:28:56 [backtester.engine] INFO: Tick 79200 (idx 79199/641525) | ts=1775633613 | portfolio=$13,964.36 | trades=2404 | settled=1101
09:29:09 [backtester.engine] INFO: Tick 82800 (idx 82799/641525) | ts=1775637213 | portfolio=$11,433.66 | trades=2508 | settled=1152
09:29:22 [backtester.engine] INFO: Tick 86400 (idx 86399/641525) | ts=1775640813 | portfolio=$12,580.80 | trades=2600 | settled=1203
09:29:36 [backtester.engine] INFO: Tick 90000 (idx 89999/641525) | ts=1775644413 | portfolio=$13,578.98 | trades=2672 | settled=1253
09:29:50 [backtester.engine] INFO: Tick 93600 (idx 93599/641525) | ts=1775648013 | portfolio=$13,306.91 | trades=2752 | settled=1304
09:30:03 [backtester.engine] INFO: Tick 97200 (idx 97199/641525) | ts=1775651613 | portfolio=$11,942.88 | trades=2847 | settled=1355
09:30:15 [backtester.engine] INFO: Tick 100800 (idx 100799/641525) | ts=1775655213 | portfolio=$10,860.64 | trades=2939 | settled=1406
09:30:30 [backtester.engine] INFO: Tick 104400 (idx 104399/641525) | ts=1775658813 | portfolio=$12,448.55 | trades=3017 | settled=1457
09:30:44 [backtester.engine] INFO: Tick 108000 (idx 107999/641525) | ts=1775662413 | portfolio=$13,383.61 | trades=3103 | settled=1508
09:30:59 [backtester.engine] INFO: Tick 111600 (idx 111599/641525) | ts=1775666013 | portfolio=$13,557.96 | trades=3163 | settled=1559
09:31:13 [backtester.engine] INFO: Tick 115200 (idx 115199/641525) | ts=1775669613 | portfolio=$13,838.10 | trades=3219 | settled=1610
09:31:28 [backtester.engine] INFO: Tick 118800 (idx 118799/641525) | ts=1775673213 | portfolio=$13,794.31 | trades=3270 | settled=1661
09:31:43 [backtester.engine] INFO: Tick 122400 (idx 122399/641525) | ts=1775676813 | portfolio=$13,805.64 | trades=3331 | settled=1712
09:31:58 [backtester.engine] INFO: Tick 126000 (idx 125999/641525) | ts=1775680413 | portfolio=$13,639.24 | trades=3376 | settled=1757
09:32:13 [backtester.engine] INFO: Tick 129600 (idx 129599/641525) | ts=1775684013 | portfolio=$12,351.58 | trades=3743 | settled=1808
09:32:30 [backtester.engine] INFO: Tick 133200 (idx 133199/641525) | ts=1775687613 | portfolio=$14,214.71 | trades=3804 | settled=1858
09:32:45 [backtester.engine] INFO: Tick 136800 (idx 136799/641525) | ts=1775691213 | portfolio=$14,404.69 | trades=3824 | settled=1909
09:33:00 [backtester.engine] INFO: Tick 140400 (idx 140399/641525) | ts=1775694813 | portfolio=$14,475.68 | trades=3900 | settled=1954
09:33:16 [backtester.engine] INFO: Tick 144000 (idx 143999/641525) | ts=1775698413 | portfolio=$15,959.40 | trades=3935 | settled=2005
